Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Ferrer-Garcia, Manuel F; Lopez-Mago, Dorilian; ",Newtonian orbits of nanoparticles interacting with structured light beams,Journal of Optics,21,12,125403,2019,IOP Publishing
"Mendoza-Hernández, Job; Ferrer-Garcia, Manuel F; Arturo Rojas-Santana, Jorge; Lopez-Mago, Dorilian; ",Cylindrical vector beam generator using a two-element interferometer,Optics express,27,22,31810-31819,2019,Optical Society of America
"Mendoza-Hernández, Job; Szatkowski, Mateusz; Ferrer-Garcia, Manuel F; Gutiérrez-Vega, Julio C; Lopez-Mago, Dorilian; ",Generation of light beams with custom orbital angular momentum and tunable transverse intensity symmetries,Optics express,27,18,26155-26162,2019,Optica Publishing Group
"Ferrer-Garcia, Manuel F; Alvandi, Yousef; Zhang, Yingwen; Karimi, Ebrahim; ",Theoretical analysis on spatially structured beam induced mass transport in azo-polymer films,Optics Express,28,14,19954-19965,2020,Optica Publishing Group
"Larocque, Hugo; D’Errico, Alessio; Ferrer-Garcia, Manuel F; Carmi, Avishy; Cohen, Eliahu; Karimi, Ebrahim; ",Optical framed knots as information carriers,Nature communications,11,1,5119,2020,Nature Publishing Group UK London
"Ferrer-Garcia, Manuel F; D'Errico, Alessio; Larocque, Hugo; Sit, Alicia; Karimi, Ebrahim; ",Polychromatic electric field knots,Physical Review Research,3,3,033226,2021,American Physical Society
"Ferrer-Garcia, Manuel F; Snizhko, Kyrylo; D’errico, Alessio; Romito, Alessandro; Gefen, Yuval; Karimi, Ebrahim; ",Topological transitions of the generalized Pancharatnam-Berry phase,Science advances,9,47,eadg6810,2023,American Association for the Advancement of Science
"Ferrer-Garcia, Manuel F; Carmi, Avishy; D'Errico, Alessio; Larocque, Hugo; Cohen, Eliahu; Karimi, Ebrahim; ",Secure communication using low dimensional topological elements,arXiv preprint arXiv:2212.04350,,,,2022,
"Scarfe, Lukas; Hufnagel, Felix; Ferrer-Garcia, Manuel F; D'Errico, Alessio; Heshami, Khabat; Karimi, Ebrahim; ",Fast Adaptive Optics for High-Dimensional Quantum Communications in Turbulent Channels,arXiv preprint arXiv:2311.13041,,,,2023,
"Ferrer Garcia, Manuel Francisco; ",Structuring Light: From knots to geometrical phases,,,,,2024,Université d'Ottawa| University of Ottawa
